Path,Pitch,RMSE,PercentSilence,FrequencyMagnitude
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/3 máy khoan/khoan_dien_2.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[664.4063702180744, 31.078715788455504, 4.433014894658256, 2.5799579442675515, 4.780519344716422, 14.489107111114121, 10.223667812897475]","[7.564625850340136, 77.80952380952381, 53.68707482993197, 49.93650793650794, 51.41043083900227, 61.99546485260771, 53.70521541950114]","[(19087, 173.59109030683234), (27720, 225.3231129759014), (49134, 84.2817032082536), (67940, 98.64540973451851), (105216, 84.2817032082536), (126630, 225.3231129759014), (135263, 173.59109030683234)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/3 máy khoan/khoan_dien_3.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[7.2710604423137255, 4.668021557985672, 2.122826266956205, 3.596841708557414, 3.8142897172032724, 5.256265948922928, 27.09600583517126]","[47.12925170068027, 48.04081632653061, 49.863945578231295, 49.45124716553288, 57.69614512471655, 54.997732426303855, 78.93877551020408]","[(5810, 295.1087388793029), (23944, 233.1375133539334), (45646, 120.83293309282575), (67370, 154.647887787072), (108704, 120.83293309282575), (130406, 233.1375133539334), (148540, 295.108738879303)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/3 máy khoan/khoan_dien_4.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[84.23386393114924, 47.70354880518945, 3.2621994852975367, 3.3877731974955947, 3.5264940655213737, 3.555959050399473, 3.7591050476683967]","[83.2063492063492, 71.88208616780045, 49.77777777777778, 48.176870748299315, 51.83673469387755, 53.99546485260771, 46.61678004535147]","[(8404, 228.728275961388), (32794, 232.5488032868155), (45708, 142.35546599673935), (69441, 101.84857130160233), (108642, 142.35546599673935), (121556, 232.54880328681548), (145946, 228.72827596138805)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/3 máy khoan/khoan_dien_5.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[18.934538225889703, 2.9770773954667327, 3.627648990442096, 3.1273544757693474, 3.5801895436764295, 2.6484557255614725, 3.811391211846577]","[52.77097505668934, 52.022675736961446, 52.625850340136054, 47.17460317460317, 49.482993197278915, 51.99546485260771, 53.77324263038549]","[(8955, 273.3678907755428), (32659, 266.9309112989808), (44266, 167.80046565537828), (66781, 123.11298999202431), (110084, 167.8004656553783), (121691, 266.9309112989808), (145395, 273.3678907755428)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/3 máy khoan/khoan_dien_6.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[8.972971927277138, 34.11221219603682, 24.772531871262583, 4.800410419037299, 12.236597988244501, 6.013575116784999, 6.0204163246366775]","[38.80725623582767, 34.36281179138322, 43.90022675736961, 43.59183673469388, 54.86167800453515, 52.3718820861678, 49.50113378684807]","[(3955, 805.6359168273091), (41820, 118.00703040938679), (55064, 527.1683778362781), (66220, 42.66320132939759), (99286, 527.1683778362782), (112530, 118.00703040938679), (150395, 805.635916827309)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/3 máy khoan/khoan_dien_7.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[7.072449645818059, 3.2195609609646323, 8.94167836384094, 6.013157155220618, 5.3641766093538275, 4.488153981981755, 6.56386171966525]","[58.439909297052154, 49.233560090702944, 53.20634920634921, 46.317460317460316, 55.20181405895691, 44.11337868480726, 47.53287981859411]","[(3816, 756.241822379784), (42112, 132.59498533707952), (55029, 485.84302535232933), (88163, 59.41052050171619), (99321, 485.8430253523293), (112238, 132.59498533707955), (150534, 756.241822379784)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/3 máy khoan/khoan_dien_8.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[7.47486368785504, 6.357489791671036, 10.506315509112374, 8.639325740348015, 6.357147581487273, 3.9993406805608953, 5.789028085044785]","[53.12471655328798, 53.532879818594104, 50.30839002267574, 49.97278911564626, 48.36281179138322, 46.02721088435374, 39.63265306122449]","[(3816, 1509.2990014120267), (43020, 157.59736134206074), (55082, 463.0768224347887), (67935, 41.45429393496697), (99268, 463.07682243478877), (111330, 157.59736134206074), (150534, 1509.2990014120267)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/3 máy khoan/khoan_dien_9.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[17.59935921588696, 10.876825521145726, 3.3979484101846102, 5.015566406239357, 9.300326020179671, 13.670785501710183, 8.773177634880302]","[36.167800453514744, 54.19501133786848, 49.600907029478456, 45.96825396825397, 56.276643990929706, 55.034013605442176, 50.204081632653065]","[(3816, 955.7877990553156), (42946, 153.6663905993549), (55015, 431.63278381686496), (66397, 41.47912440224231), (99335, 431.63278381686484), (111404, 153.6663905993549), (150534, 955.7877990553155)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/4 máy cắt cỏ/may_cat_co_1.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[52.43284061285775, 5.568567731062926, 5.743795713143689, 5.821655803204824, 5.150894479482391, 6.4686894513128905, 5.790627192306731]","[39.77777777777778, 46.952380952380956, 29.882086167800452, 47.378684807256235, 44.6530612244898, 48.66666666666667, 33.33333333333334]","[(712, 602.7211927987424), (41150, 64.19100443154802), (52140, 58.51536255127612), (69416, 51.2591533629332), (102210, 58.51536255127612), (113200, 64.19100443154802), (153638, 602.7211927987424)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/4 máy cắt cỏ/may_cat_co_10.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[8.340481504240225, 6.396958808458987, 6.10356430074067, 6.755759083482969, 6.735248549930041, 6.98934480682337, 6.781595291769398]","[42.57142857142857, 54.1859410430839, 43.83219954648526, 44.68027210884353, 33.15646258503402, 40.49886621315193, 40.507936507936506]","[(720, 544.793420181444), (37784, 64.83288141437227), (52777, 53.89709043273744), (69425, 63.30789605019984), (101573, 53.89709043273746), (116566, 64.83288141437227), (153630, 544.793420181444)]"
